"station_english_name";"station_latitude";"station_longitude"
"Phalphul Chowk Bus Route Point";"27.7192353";"85.3068531"
"Chapagaun Dobato Bus Route Point";"27.6579493";"85.3225493"
"Taalchhikhel Bus Route Point";"27.659092";"85.320999"
"BID Gate Bus Route Point";"27.7297106";"85.303731"
"Pipal Bot Bus Route Point";"27.6626816";"85.3404236"
"Samarpan Chowk Bus Route Point";"27.7318663";"85.2956951"
"Sanagaun School Chok";"27.6497575";"85.358963"
"Kantipur College Bus Route Point";"27.6472485";"85.364778"
"Kwo Lachhi Bus Route Point";"27.644081875360136";"85.37150200456381"
"Lubhu Bus Route Point";"27.642889103575488";"85.37334702908993"
"Pani Tyanki Bus Route Point";"27.640472";"85.3821051"
"Lamatar Bus Route Point";"27.63276249379342";"85.39091650396584"
"Dhungin Buspark Bus Route Point";"27.627973";"85.3951943"
"Chapagaun Bus Route Point";"27.597558599361665";"85.32372448593378"
"Magargaun Bus Park Bus Route Point";"27.649154";"85.3002146"
"Dhaulagiri Chowk Bus Route Point";"27.7379439";"85.3628361"
"Kharibot Kapan";"27.7355034";"85.3642631"
"Motitar Bus Route Point";"27.6649741";"85.3591079"
"Thapa Chowk Tikathali";"27.6644918";"85.3615084"
"Simaltar Chowk Bus";"27.7323506";"85.3741336"
"Aarubari Chowk Bus station";"27.7312585";"85.3757751"
"Sundarijal Bus Route Point";"27.7589944";"85.4207611"
"BP Chowk Bus Route Point";"27.7505063";"85.4143667"
"Bhadrabas Chowk Bus Route Point";"27.738789";"85.4181647"
"Bhimeshower Bus Route Point";"27.7419274";"85.4345745"
"Sanagaun Chowk Indrayini";"27.7369088";"85.4458237"
"Indrayani Bus Route Point";"27.730048917789833";"85.4340098798275"
"Bir Hospital Bus Route Point";"27.7057099";"85.3142238"
"Ghattekulo Bus Route Point";"27.69943313589956";"85.32858934253456"
"Seto Pool Bus station";"27.702960581751523";"85.33579844981432"
"Maitidevi Chowk Dillibazar";"27.70390127408938";"85.33261768519877"
"Dillibazar Pipal Bot";"27.7049785";"85.3291368"
"Charkhal Bus Route Point";"27.7065553";"85.327034"
"Putalisadak Computer Bazar";"27.7068972";"85.3227425"
"Tara Hal Chowk Bus Route Point";"27.697120330547307";"85.3505227714777"
"Saraswotikhel Chowk Bus Route Point";"27.69497401758634";"85.39916597306728"
"Mahankal Chowk Bus Route Point";"27.699661712383552";"85.41732855141163"
"High School Bus Route Point";"27.7044086";"85.4180789"
"NEC College Bus Route Point";"27.709001472357738";"85.41608098894358"
"Nyacho Pauwa Bus Route Point";"27.716846324083434";"85.43261211365461"
"Ramailo Gaun Bus Route Point";"27.7127103";"85.4386568"
"Indra Chowk Bus Route Point";"27.7103547";"85.4391503"
"Ghumti Ghar Bus Route Point";"27.7055864";"85.4396868"
"Pikhel Bus Route Point";"27.7022808";"85.4399443"
"Pakune Pati Centre Bus Route Point";"27.6970562";"85.4407167"
"Bansbari Kharipati";"27.6887153";"85.4574859"
"Ghumaune Bus station";"27.6949188";"85.4607475"
"Subidhanagar Nagarkot";"27.6955553";"85.46314"
"Krishna Mandir Kushaltar";"27.6966857";"85.4655218"
"Bhadrakali Nagarkot";"27.6978352";"85.4667234"
"Kharipati Bus Route Point";"27.7024138";"85.4702961"
"Muhan Pokhari Bus Route Point";"27.7045131";"85.4741371"
"Mahakali Bus Route Point";"27.675894";"85.431726"
"Redcross Chowk Bus Route Point";"27.6695802";"85.3658295"
"Changu Narayan Bus Route Point";"27.6763548";"85.4327506"
"Mahalaxmi Changunarayan";"27.6761458";"85.4336196"
"Dhansar Bus Route Point";"27.6537489";"85.3775239"
"Kamal Vinayak Bus Route Point";"27.6764023";"85.4371816"
"Chardobato Biruwa";"27.6503087";"85.3829741"
"Tarkhagal Bus Route Point";"27.6476381";"85.395999"
"Nagarkot Kamalbinayak";"27.6775615";"85.4377556"
"Kitta Chaur Bus Route Point";"27.6092646";"85.3732216"
"Godawari Bus Route Point";"27.594518";"85.3780925"
"Bungmati Bus Route Point";"27.6284946";"85.303684"
"Khari Bot Balkumari";"27.6675088";"85.3490496"
"Bhagawati Mandir Balkumari";"27.6673187";"85.3532124"
"Jhikucha Bus Route Point";"27.6659504";"85.3551865"
"Manamaiju Futung";"27.7518735";"85.3122336"
"Tikathali Thapa Chowk";"27.664354";"85.3628469"
"By Pass Bus Route Point";"27.7365741";"85.3018185"
"Force Park Bus Route Point";"27.66123365933634";"85.36967273801565"
