"station_id","station_english_name","station_nepali_name","station_latitude","station_longitude"
"1204","Bhanjyang Jharuwarashi","भन्ज्यांग झरुवाराशी","27.61200081659778","85.33836767077446"
"1205","Pulchowk Bus Route Point","पुल्चोक","27.6767824","85.3161764"
"1207","Santaneshwar Mahadev Bus Route Point","संतानेश्वर महादेव ","27.6148736","85.3428698"
"1208","Badegaun Bus Route Point","बाडेगाउँ","27.6178207","85.3527188"
"1209","Medical Chowk Bus Route Point","मेडिकल चोक","27.7194917","85.3028512"
"1210","Taukhel Bus Route Point","टौखेल बसपार्क","27.611521014611977","85.35749249160288"
"1211","Gitangali Chowk Bus Route Point","गितांजलि चोक","27.7193588","85.304997"
"1212","Thaiba Bus Route Point","ठैब","27.6247221","85.3480625"
"1213","Phalphul Chowk Bus Route Point","फलफुल चोक","27.7192353","85.3068531"
"1214","Chapagaun Dobato Bus Route Point","चापागाउँ दोबाटो","27.6579493","85.3225493"
"1215","Taalchhikhel Bus Route Point","तल्छिखेल","27.659092","85.320999"
"1216","BID Gate Bus Route Point","बि.आई.डी गेट","27.7297106","85.303731"
"1217","Pipal Bot Bus Route Point","पिपलबोट","27.6626816","85.3404236"
"1219","Samarpan Chowk Bus Route Point","समर्पण चोक","27.7318663","85.2956951"
"1222","Sanagaun School Chok","सानागाउँ स्कुल चोक","27.6497575","85.358963"
"1223","Kantipur College Bus Route Point","कान्तिपुर कलेज","27.6472485","85.364778"
"1224","Kwo Lachhi Bus Route Point","को लाछी","27.644081875360136","85.37150200456381"
"1225","Lubhu Bus Route Point","लुभू बसपार्क","27.642889103575488","85.37334702908993"
"1226","Pani Tyanki Bus Route Point","पानि टंकी लुभू","27.640472","85.3821051"
"1227","Lamatar Bus Route Point","लामाटार बसपार्क","27.63276249379342","85.39091650396584"
"1228","Dhungin Buspark Bus Route Point","ढुंगीन","27.627973","85.3951943"
"1233","Chapagaun Bus Route Point","चापागाउँ बसपार्क","27.597558599361665","85.32372448593378"
"1235","Magargaun Bus Park Bus Route Point","मगरगाउँ भैंसीपाटि","27.649154","85.3002146"
"1236","Dhaulagiri Chowk Bus Route Point","धौलागिरि चोक","27.7379439","85.3628361"
"1239","Kharibot Kapan","खरीबोट कपन","27.7355034","85.3642631"
"1240","Motitar Bus Route Point","मोतिटार","27.6649741","85.3591079"
"1241","Thapa Chowk Tikathali","थापा चोक टिकाथली","27.6644918","85.3615084"
"1242","Simaltar Chowk Bus","सिमल्टार","27.7323506","85.3741336"
"1244","Aarubari Chowk Bus station","आरुबारी चोक","27.7312585","85.3757751"
"1245","Sundarijal Bus Route Point","सुन्दरीजल","27.7589944","85.4207611"
"1246","BP Chowk Bus Route Point","बि.पी. चोक","27.7505063","85.4143667"
"1247","Bhadrabas Chowk Bus Route Point","भद्रबास चोक","27.738789","85.4181647"
"1249","Bhimeshower Bus Route Point","भिमेश्वर","27.7419274","85.4345745"
"1250","Sanagaun Chowk Indrayini","सानागाउँ  चोक इन्द्रायणी","27.7369088","85.4458237"
"1252","Indrayani Bus Route Point","इन्द्र्यायिनी","27.730048917789833","85.4340098798275"
